Wall time,Step,Value
1590925924.938574,983,0.21875
1590925925.7973309,984,0.90625
1590925926.868654,985,0.84375
1590925927.704152,986,0.59375
1590925928.935754,987,0.9375
1590925929.780637,988,0.6875
1590925930.649174,989,0.5
1590925931.5659049,990,-0.375
1590925932.7013,991,-0.0625
1590925934.045134,992,0.125
1590925935.484503,993,0.34375
1590925936.424395,994,0.9375
1590925937.5930848,995,0.8125
1590925938.508859,996,0.46875
1590925939.526579,997,-0.03125
1590925940.3829498,998,0.03125
1590925941.240105,999,0.875
1590925942.07495,1000,0.8125
1590925942.872458,1001,0.65625
1590925943.881989,1002,0.59375
1590925944.832284,1003,0.65625
1590925945.649173,1004,0.21875
1590925946.480868,1005,0.03125
1590925947.263892,1006,1.0625
1590925948.048529,1007,-0.78125
1590925948.835443,1008,0.8125
1590925949.630993,1009,0.90625
1590925950.421917,1010,0.4375
1590925951.2105181,1011,1.0625
1590925951.993699,1012,0.71875
1590925952.7607832,1013,0.8125
1590925953.540881,1014,0.78125
1590925954.319978,1015,0.9375
1590925955.124943,1016,1.0625
1590925955.903373,1017,0.875
1590925956.685204,1018,0.90625
1590925957.45049,1019,0.53125
1590925958.266558,1020,1.03125
1590925959.036878,1021,0.78125
1590925959.844609,1022,0.84375
1590925960.6015801,1023,-0.28125
1590925961.3790221,1024,0.40625
1590925962.1322691,1025,0.1875
1590925962.9319968,1026,0.875
1590925963.703103,1027,0.71875
1590925964.48783,1028,0.96875
1590925965.2742321,1029,0.75
1590925966.059786,1030,1.15625
1590925966.865165,1031,-0.25
1590925967.665301,1032,1.0
1590925968.466583,1033,0.5
1590925969.293403,1034,0.78125
1590925970.178816,1035,0.875
1590925971.398557,1036,1.3125
1590925972.3337998,1037,1.0
1590925973.13602,1038,-0.125
1590925973.992976,1039,0.53125
1590925974.828794,1040,0.9375
1590925975.671155,1041,1.3125
1590925976.516892,1042,1.15625
1590925977.3692842,1043,0.8125
1590925978.216768,1044,0.9375
1590925979.020601,1045,0.21875
1590925979.851012,1046,0.75
1590925980.722494,1047,0.96875
1590925981.577336,1048,0.65625
1590925982.443771,1049,0.84375
1590925983.2692611,1050,0.875
1590925984.098987,1051,0.59375
1590925984.911463,1052,1.1875
1590925985.737738,1053,1.09375
1590925986.586744,1054,0.9375
1590925987.40114,1055,0.8125
1590925988.383868,1056,-0.25
1590925989.220235,1057,0.5625
1590925990.0779011,1058,0.625
1590925990.90148,1059,1.25
1590925991.718336,1060,1.15625
1590925992.551311,1061,0.96875
1590925993.371718,1062,1.09375
1590925994.215322,1063,1.3125
1590925995.02592,1064,0.40625
1590925995.835897,1065,0.6875
1590925996.640345,1066,1.03125
1590925997.5143511,1067,0.125
1590925998.333482,1068,0.71875
1590925999.128155,1069,0.78125
1590925999.947058,1070,0.625
1590926000.7544398,1071,0.5625
1590926001.589773,1072,-0.09375
1590926002.627798,1073,0.90625
1590926003.455107,1074,0.625
1590926004.286073,1075,1.03125
1590926005.152033,1076,1.1875
1590926005.9800708,1077,0.25
1590926006.830682,1078,0.90625
1590926007.613662,1079,1.0
1590926008.4277718,1080,0.59375
1590926009.228607,1081,0.1875
1590926010.052137,1082,0.9375
1590926010.867119,1083,0.6875
1590926011.686034,1084,1.375
1590926012.532916,1085,0.6875
1590926013.392895,1086,0.875
1590926014.2270248,1087,0.375
1590926015.088886,1088,0.59375
1590926015.911406,1089,1.09375
1590926016.716574,1090,0.96875
1590926017.541184,1091,0.21875
1590926018.3554502,1092,1.21875
1590926019.147767,1093,0.4375
1590926020.1615832,1094,1.03125
1590926021.397917,1095,-0.21875
1590926022.5591402,1096,0.53125
1590926023.422519,1097,1.25
1590926024.276045,1098,0.21875
1590926025.1266649,1099,1.0625
1590926026.127854,1100,0.4375
1590926027.241614,1101,0.6875
1590926028.609094,1102,1.125
1590926029.7620249,1103,0.34375
1590926030.8539982,1104,0.71875
1590926031.819285,1105,1.0
1590926032.6098812,1106,0.96875
1590926033.9327722,1107,1.15625
1590926035.1636648,1108,1.0
1590926036.592641,1109,1.15625
1590926037.986832,1110,0.5625
1590926039.134036,1111,1.09375
1590926040.144371,1112,1.34375
1590926041.224658,1113,0.75
1590926042.444227,1114,1.125
1590926043.9369442,1115,0.375
1590926045.568287,1116,0.5625
1590926046.5904331,1117,0.78125
1590926047.4602969,1118,0.78125
1590926048.56497,1119,-0.34375
1590926050.088876,1120,1.375
1590926051.550089,1121,0.1875
1590926052.485415,1122,0.96875
1590926053.4929512,1123,1.15625
1590926054.841129,1124,0.46875
1590926055.7995121,1125,0.84375
1590926056.695988,1126,0.875
1590926058.0961401,1127,0.375
1590926059.078065,1128,0.21875
1590926060.1240802,1129,1.09375
1590926061.444252,1130,0.8125
1590926062.301206,1131,1.0
1590926063.500075,1132,1.03125
1590926064.467476,1133,0.5
1590926065.408308,1134,0.40625
1590926066.277198,1135,1.21875
1590926067.070066,1136,1.09375
1590926068.18147,1137,1.0
1590926069.217824,1138,1.21875
1590926070.34006,1139,0.96875
1590926071.478891,1140,0.25
1590926072.389173,1141,0.1875
1590926073.409143,1142,1.125
1590926074.4935622,1143,0.375
1590926075.569391,1144,0.46875
1590926076.4698088,1145,0.4375
1590926077.292326,1146,1.1875
1590926079.12405,1147,0.625
1590926080.5370262,1148,1.21875
1590926081.430916,1149,1.09375
1590926082.321506,1150,1.03125
1590926083.1821902,1151,1.09375
1590926084.029273,1152,0.53125
1590926084.997269,1153,1.15625
1590926085.867745,1154,1.0
1590926086.752752,1155,-0.25
1590926088.131403,1156,0.875
1590926089.311361,1157,0.28125
1590926090.4452322,1158,1.34375
1590926091.539605,1159,0.78125
1590926093.057396,1160,0.84375
1590926094.0383732,1161,1.125
1590926095.1620102,1162,0.78125
1590926096.521174,1163,0.8125
1590926097.640647,1164,1.28125
