Wall time,Step,Value
1590929423.3899488,1354,0.25
1590929424.570069,1355,0.53125
1590929425.734408,1356,0.71875
1590929427.149614,1357,0.28125
1590929428.374732,1358,0.15625
1590929429.638915,1359,0.25
1590929430.8151639,1360,0.5625
1590929432.062298,1361,0.84375
1590929434.9442902,1362,0.65625
1590929436.774034,1363,0.78125
1590929438.956246,1364,0.65625
1590929440.989461,1365,0.5
1590929443.13199,1366,0.5625
1590929444.5735402,1367,0.5
1590929445.762976,1368,0.4375
1590929447.077,1369,0.34375
1590929448.3793018,1370,0.28125
1590929449.585439,1371,0.5625
1590929450.813849,1372,0.59375
1590929452.072649,1373,0.90625
1590929453.362615,1374,0.09375
1590929454.562378,1375,0.28125
1590929455.766442,1376,0.65625
1590929456.96988,1377,0.1875
1590929458.299253,1378,0.03125
1590929459.511701,1379,0.53125
1590929460.666879,1380,0.40625
1590929461.9461179,1381,0.53125
1590929463.675043,1382,0.4375
1590929465.2781901,1383,0.53125
1590929466.708828,1384,0.78125
1590929468.462158,1385,0.4375
1590929470.19695,1386,0.53125
1590929471.981018,1387,0.6875
1590929473.3103979,1388,0.71875
1590929475.1077492,1389,0.21875
1590929476.412145,1390,0.40625
1590929477.777235,1391,0.59375
1590929479.149763,1392,0.3125
1590929480.5693939,1393,0.53125
1590929481.954554,1394,0.4375
1590929483.41836,1395,0.75
1590929484.6400058,1396,0.46875
1590929485.855973,1397,0.53125
1590929487.215731,1398,0.375
1590929488.754486,1399,0.5625
1590929490.450618,1400,0.75
1590929491.951738,1401,0.6875
1590929493.8526962,1402,0.25
1590929496.396448,1403,0.40625
1590929498.265346,1404,0.1875
1590929500.4131148,1405,0.53125
1590929502.07331,1406,0.71875
1590929503.279903,1407,0.46875
1590929504.5512,1408,0.71875
1590929505.7386858,1409,0.34375
1590929506.917131,1410,0.28125
1590929508.186003,1411,0.59375
1590929509.385795,1412,0.125
1590929510.487215,1413,0.40625
1590929511.655874,1414,0.375
1590929512.851137,1415,0.3125
1590929513.97523,1416,0.3125
1590929515.1589272,1417,0.34375
1590929516.306061,1418,0.5625
1590929517.452898,1419,0.25
1590929518.59417,1420,0.40625
1590929519.733957,1421,0.40625
1590929520.8985212,1422,0.59375
1590929522.057985,1423,0.28125
1590929523.212682,1424,0.46875
1590929525.378199,1425,0.53125
1590929527.600511,1426,0.46875
1590929529.2471302,1427,0.21875
1590929531.308365,1428,0.53125
1590929533.476984,1429,0.0
1590929535.552796,1430,0.3125
1590929537.6871412,1431,0.21875
1590929538.947839,1432,0.6875
1590929540.2181299,1433,0.3125
1590929541.6263502,1434,0.4375
1590929542.903671,1435,0.46875
1590929544.1410491,1436,0.46875
1590929545.386616,1437,0.40625
1590929546.671479,1438,0.3125
1590929547.963089,1439,0.71875
1590929549.205725,1440,0.625
1590929550.3888261,1441,0.78125
1590929551.595191,1442,0.625
1590929552.916044,1443,0.5625
1590929554.55796,1444,0.71875
1590929555.9927008,1445,0.28125
1590929557.245549,1446,0.25
1590929558.606242,1447,0.6875
1590929559.850633,1448,0.375
1590929561.066654,1449,0.625
1590929562.29167,1450,0.46875
1590929563.587352,1451,0.5625
1590929564.776547,1452,-0.1875
1590929566.000288,1453,0.4375
1590929567.2981272,1454,0.625
1590929568.536065,1455,0.625
1590929569.823978,1456,0.21875
1590929571.057566,1457,0.1875
1590929572.3231091,1458,0.5625
1590929573.5274398,1459,0.21875
1590929574.8503308,1460,0.5625
1590929576.0245602,1461,0.46875
1590929577.316651,1462,0.5
1590929578.566792,1463,0.5
