#{"t_start": 1591361345.185406, "env_id": "SuperMarioBros-v2"}
r,l,t
595,392,15786.650914
1037,741,15813.176178
615,347,15825.553399
1430,838,15855.434709
247,108,15859.305016
1580,751,15886.071786
82,61,15888.257214
606,356,15900.913367
1351,516,15919.298003
59,72,15921.86413
634,294,15932.33671
1321,765,15959.636717
83,60,15961.769531
1582,724,15987.685754
318,181,15994.436624
76,67,15996.957662
245,114,16001.186035
610,251,16010.172337
1565,782,16038.24787
1582,636,16060.892973
86,74,16063.554228
654,302,16074.312566
1700,754,16101.142711
170,103,16104.831051
46,61,16107.013443
1691,766,16134.232072
61,60,16136.410645
308,154,16141.885254
605,270,16151.472285
762,729,16177.42591
1327,670,16201.224401
244,114,16205.325356
2098,1460,16257.6055
306,164,16263.541517
1039,618,16285.980222
1570,795,16315.353354
47,61,16317.554324
2099,1450,16369.970246
448,239,16378.593695
152,104,16382.326285
252,106,16386.177596
248,115,16390.382229
2098,1171,16432.649572
514,509,16451.086701
249,113,16455.206146
1312,990,16491.280156
774,600,16513.078441
1935,921,16546.363085
313,142,16551.494678
513,522,16570.10008
588,419,16585.05075
603,382,16598.745522
1573,744,16625.866745
78,71,16628.409946
312,138,16633.335952
1341,729,16659.686655
93,65,16662.081323
317,140,16667.198517
1583,660,16690.896647
327,143,16696.0461
311,140,16701.095686
589,634,16723.855636
2102,1381,16773.345099
61,73,16775.975155
243,118,16780.294168
1070,524,16799.404006
1560,840,16829.773094
251,106,16833.632004
1681,1167,16875.843562
46,61,16878.056779
654,270,16887.759243
1074,470,16904.670523
753,818,16934.109534
605,252,16943.19402
1692,843,16973.522841
59,72,16976.129195
617,250,16985.159774
1342,711,17010.659672
828,978,17045.833131
1556,1144,17086.874618
97,63,17089.140597
46,61,17091.317397
602,244,17100.019129
604,253,17109.031295
230,122,17113.341729
242,116,17117.468547
1448,769,17144.853481
435,206,17152.269931
608,250,17161.134529
1918,909,17193.517237
424,232,17202.542055
250,110,17206.61078
640,293,17217.456829
1328,555,17237.096641
653,294,17247.546133
1048,521,17266.07117
797,624,17288.233169
1431,754,17315.040692
794,672,17338.979202
159,84,17341.965979
1579,802,17370.38338
177,87,17373.509957
61,65,17375.791474
629,326,17387.361432
252,115,17391.453963
230,114,17395.482077
744,472,17412.225186
244,115,17416.318756
496,574,17436.684234
356,470,17453.295399
1040,633,17475.762656
1023,701,17500.641138
252,106,17504.616162
1326,1062,17542.93197
179,94,17546.269688
812,638,17568.978047
356,475,17585.814986
234,106,17589.56341
243,114,17593.632985
618,403,17607.90298
759,704,17632.7837
1699,852,17662.971283
1099,707,17688.112618
159,90,17691.322005
608,280,17701.258694
248,121,17705.554392
1567,708,17730.628017
1583,708,17755.738475
178,87,17758.867606
136,126,17763.354768
1039,634,17786.008802
1347,600,17807.517037
162,90,17810.872054
1339,733,17837.569906
671,337,17849.629645
649,276,17859.535853
622,366,17872.597124
651,323,17884.099803
236,112,17888.06639
512,556,17907.818107
626,319,17919.149692
235,112,17923.110126
1045,497,17940.779219
252,111,17944.746888
234,112,17948.702313
1057,691,17973.252653
247,109,17977.130433
231,118,17981.323161
760,630,18003.722723
637,295,18014.231021
235,122,18018.560126
768,726,18044.401515
1034,775,18072.048192
614,264,18081.470438
252,122,18085.838013
248,139,18090.783579
611,298,18101.410586
356,472,18118.595322
356,468,18135.34826
605,276,18145.525457
232,160,18151.384241
1047,505,18169.532319
794,698,18194.487092
611,278,18204.437382
1319,843,18234.520873
1054,496,18252.207989
356,471,18268.986592
1050,485,18286.25348
638,294,18296.719536
1043,558,18316.624565
612,241,18325.24552
1338,659,18348.618538
246,106,18352.4123
1698,799,18380.880924
164,88,18384.017859
1038,715,18409.488029
236,131,18414.179211
234,112,18418.155928
244,114,18422.386516
251,111,18426.453062
236,114,18430.509055
629,372,18443.80755
617,551,18463.925753
233,106,18467.69727
241,116,18471.865245
1045,541,18491.129749
232,114,18495.175322
1344,620,18517.257251
662,343,18529.537607
84,55,18531.486429
248,106,18535.284474
1030,841,18565.273355
1029,579,18585.938856
633,356,18598.648587
248,107,18602.479918
605,342,18614.669896
2253,1258,18659.478268
439,261,18668.808493
83,55,18670.758316
1046,505,18688.741077
606,355,18701.453464
228,124,18705.866731
1051,449,18721.894547
779,645,18745.218181
1037,841,18775.684131
800,556,18795.496969
248,111,18799.472465
230,114,18803.525415
246,116,18807.659828
246,115,18811.793111
233,128,18816.3598
604,244,18825.110718
1072,518,18843.622103
597,356,18856.27176
1039,658,18879.785853
1067,558,18899.684038
229,114,18903.733056
247,110,18907.663859
244,129,18912.277969
235,136,18917.101525
1347,618,18939.139467
175,89,18942.353836
315,146,18947.636872
252,106,18951.438252
246,113,18955.487765
231,114,18959.528211
248,118,18963.740558
636,283,18973.841475
1320,602,18995.248429
246,112,18999.256903
1327,747,19025.925457
163,84,19028.904894
795,978,19064.017639
252,113,19068.048897
233,114,19072.22116
1568,952,19106.633323
176,89,19109.833591
64,72,19112.403889
612,358,19125.131114
249,105,19128.890005
231,114,19132.938509
637,604,19154.427211
1916,1051,19191.887846
54,67,19194.288397
251,110,19198.219561
603,451,19214.302134
234,130,19218.937419
250,110,19222.88534
623,417,19237.697723
1436,708,19262.852182
1331,829,19292.320783
179,83,19295.340575
426,222,19303.240788
248,110,19307.185396
1857,923,19340.361803
157,90,19343.686476
243,116,19347.864908
252,123,19352.267695
229,130,19356.894403
252,106,19360.696937
244,127,19365.240556
234,118,19369.459927
247,114,19373.551269
622,285,19383.877712
575,544,19403.736822
251,106,19407.52805
799,880,19438.935873
233,126,19443.433073
250,118,19447.649346
248,121,19452.047336
233,112,19456.038349
235,134,19460.836152
1066,533,19479.937895
235,112,19483.930074
252,106,19487.758251
251,117,19491.958369
234,112,19495.949886
252,106,19499.746113
249,111,19503.735361
1021,712,19529.083059
1045,592,19550.221213
626,305,19561.18369
1031,506,19579.355507
1039,641,19602.395809
763,625,19624.80611
232,116,19628.950047
1061,618,19651.53457
248,131,19656.309
236,112,19660.358072
252,106,19664.196434
251,111,19668.216348
234,114,19672.320665
609,260,19681.699774
237,129,19686.369322
622,618,19709.310797
1418,876,19740.761026
76,74,19743.44891
64,64,19745.746182
248,110,19749.6903
249,123,19754.097481
594,242,19762.768094
231,156,19768.349722
1049,446,19784.326512
230,132,19789.026296
1698,920,19821.84906
80,63,19824.142851
69,61,19826.332733
1437,550,19845.971683
63,61,19848.187138
159,88,19851.329639
247,112,19855.326647
248,111,19859.318192
233,112,19863.294791
252,106,19867.083432
249,111,19871.056149
598,248,19879.871421
251,106,19883.66744
1045,505,19901.653074
1416,770,19929.106085
250,106,19932.909168
617,301,19943.604865
1670,872,19974.823711
640,553,19994.49816
638,319,20005.923584
233,112,20010.087364
1046,454,20026.51922
1921,899,20058.512068
60,60,20060.649131
818,506,20078.660659
653,283,20088.782778
788,801,20117.221887
